time_s,NITROGEN_TANK_PT,IPA_TANK_PT,LOX_TANK_PT,LOX_LINE_PT,IPA_LINE_PT,LOX_VENTURI_1_PT,LOX_VENTURI_2_PT,IPA_VENTURI_1_PT,IPA_VENTURI_2_PT,CHAMBER_PT,IGNITER_PT,PFM_PT,POM_PT
1777067596.403078,0.0,,-375.0,-375.0,-374.9,-374.9,-175.6,175.5,-175.8,175.3,-177.2,175.8,-175.3
1777067596.403084,0.0,,-375.0,-375.0,-374.9,-374.9,-175.6,175.5,-175.8,175.3,-177.2,175.8,-175.3
1777067596.404036,0.0,,-375.0,-375.0,-374.9,-374.9,-175.6,175.5,-175.8,175.3,-177.2,175.8,-175.3
1777067596.404041,0.0,,-375.0,-375.0,-374.9,-375.0,-175.6,175.5,-175.8,175.3,-177.2,175.8,-175.3
1777067596.404046,0.0,,-375.0,-375.0,-374.9,-375.0,-175.6,176.5,-175.8,175.3,-177.2,175.8,-175.3
1777067596.404050,0.0,,-375.0,-375.0,-374.9,-375.0,-175.6,176.5,-175.8,174.9,-177.2,175.8,-175.3
1777067596.404054,0.0,,-375.0,-375.0,-374.9,-375.0,-175.6,176.5,-175.8,174.9,-177.2,174.8,-175.3
1777067597.406774,0.0,,-375.0,-375.0,-374.9,-375.0,-175.6,176.5,-175.8,174.9,-177.2,174.8,-175.3
1777067597.406790,0.0,,-375.0,-375.0,-374.9,-375.0,-175.6,176.5,-175.8,174.9,-177.2,174.8,-175.3
1777067597.406800,0.0,,-375.0,-375.0,-375.0,-375.0,-175.6,176.5,-175.8,174.9,-177.2,174.8,-175.3
1777067597.407606,0.0,,-375.0,-375.0,-375.0,-375.0,-175.0,176.5,-175.8,174.9,-177.2,174.8,-175.3
1777067597.407620,0.0,,-375.0,-375.0,-375.0,-375.0,-175.0,176.5,-175.5,174.9,-177.2,174.8,-175.3
1777067597.407631,0.0,,-375.0,-375.0,-375.0,-375.0,-175.0,176.5,-175.5,174.9,-176.6,174.8,-175.3
1777067597.407657,0.0,,-375.0,-375.0,-375.0,-375.0,-175.0,176.5,-175.5,174.9,-176.6,174.8,-175.5
1777067598.410289,0.0,,-375.0,-375.0,-375.0,-375.0,-175.0,176.5,-175.5,174.9,-176.6,174.8,-175.5
1777067598.410304,0.0,,-375.0,-375.0,-375.0,-375.0,-175.0,176.5,-175.5,174.9,-176.6,174.8,-175.5
1777067598.410316,0.0,,-375.0,-375.0,-375.0,-375.0,-175.0,176.5,-175.5,174.9,-176.6,174.8,-175.5
1777067598.410326,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,176.5,-175.5,174.9,-176.6,174.8,-175.5
1777067598.410335,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,176.5,-176.2,174.9,-176.6,174.8,-175.5
1777067598.410343,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,176.5,-176.2,174.9,-176.6,174.8,-175.5
1777067598.411141,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,176.5,-176.2,174.9,-176.6,175.2,-175.5
1777067599.413611,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,176.5,-176.2,174.9,-176.6,175.2,-175.5
1777067599.413621,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,176.5,-176.2,174.9,-176.6,175.2,-175.5
1777067599.413628,0.0,,-375.0,-375.0,-375.0,-375.0,-176.1,176.5,-176.2,174.9,-176.6,175.2,-175.5
1777067599.414584,0.0,,-375.0,-375.0,-375.0,-375.0,-176.0,176.5,-176.2,174.9,-176.6,175.2,-175.5
1777067599.414599,0.0,,-375.0,-375.0,-375.0,-375.0,-176.0,176.5,-175.7,174.9,-176.6,175.2,-175.5
1777067599.414610,0.0,,-375.0,-375.0,-375.0,-375.0,-176.0,176.5,-175.7,174.9,-176.6,175.2,-175.5
1777067599.414619,0.0,,-375.0,-375.0,-375.0,-375.0,-176.0,176.5,-175.7,174.9,-176.6,175.2,-174.7
1777067600.415260,0.0,,-375.0,-375.0,-375.0,-375.0,-176.0,176.5,-175.7,174.9,-176.6,175.2,-174.7
1777067600.415270,0.0,,-375.0,-375.0,-375.0,-375.0,-176.0,176.5,-175.7,174.9,-176.6,175.2,-174.7
1777067600.415275,0.0,,-375.0,-375.0,-375.0,-375.0,-176.0,176.5,-175.7,174.9,-176.6,175.2,-174.7
1777067600.415282,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-175.7,174.9,-176.6,175.2,-174.7
1777067600.415305,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.3,174.9,-176.6,175.2,-174.7
1777067600.415316,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.3,174.9,-176.7,175.2,-174.7
